"","State","Year","Type_code","Type","Gender","Age_group","Total"
"29566","Bihar",2005,"Means_adopted","By Over Alcoholism","Male","0-14",0
"216337","Tripura",2011,"Education_Status","Hr. Secondary/Intermediate/Pre-Universit","Male","0-100+",20
"19017","Arunachal Pradesh",2010,"Professional_Profile","House Wife","Female","30-44",7
"187386","Punjab",2009,"Professional_Profile","Retired Person","Female","30-44",0
"136076","Maharashtra",2002,"Means_adopted","By Self Infliction of injury","Female","15-29",2
"68403","Goa",2002,"Means_adopted","By Jumping from (Other sites)","Female","30-44",0
"229801","Uttarakhand",2011,"Causes","Insanity/Mental Illness","Male","45-59",1
"96880","Jammu & Kashmir",2005,"Causes","Suspected/Illicit Relation","Male","0-14",0
"67302","Delhi (Ut)",2012,"Means_adopted","By Self Infliction of injury","Female","45-59",0
"44443","Chhattisgarh",2007,"Professional_Profile","Student","Female","60+",0
"161336","Mizoram",2011,"Means_adopted","By Machine","Male","0-14",0
"144934","Manipur",2006,"Causes","Not having Children(Barrenness/Impotency","Female","45-59",0
"107376","Jharkhand",2011,"Means_adopted","By Over Alcoholism","Male","30-44",7
"85414","Haryana",2008,"Means_adopted","By Hanging","Female","60+",0
"134169","Madhya Pradesh",2011,"Causes","Drug Abuse/Addiction","Female","30-44",8
"123860","Lakshadweep",2004,"Professional_Profile","Public Sector Undertaking","Female","15-29",0
"203659","Tamil Nadu",2002,"Means_adopted","By Fire-Arms","Male","45-59",2
"198608","Sikkim",2005,"Means_adopted","By touching electric wires","Female","60+",0
"127718","Lakshadweep",2011,"Means_adopted","By touching electric wires","Male","60+",0
"154929","Meghalaya",2012,"Causes","Professional/Career Problem","Female","15-29",0
"94409","Himachal Pradesh",2012,"Means_adopted","By Consuming Insecticides","Female","45-59",2
"135661","Maharashtra",2001,"Professional_Profile","Service (Government)","Female","15-29",19
"3735","A & N Islands",2007,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","45-59",0
"131736","Madhya Pradesh",2006,"Professional_Profile","Self-employed (Business activity)","Male","30-44",84
"147307","Manipur",2010,"Means_adopted","By Over Alcoholism","Male","0-14",0
"170144","Odisha",2003,"Causes","Insanity/Mental Illness","Male","30-44",11
"98020","Jammu & Kashmir",2007,"Causes","Ideological Causes/Hero Worshipping","Male","0-14",0
"118023","Kerala",2006,"Causes","Poverty","Male","60+",0
"116757","Kerala",2004,"Causes","Love Affairs","Female","30-44",1
"37019","Chandigarh",2006,"Means_adopted","By Jumping from (Building)","Male","60+",0
"74936","Gujarat",2002,"Causes","Causes Not known","Female","30-44",78
"235330","West Bengal",2009,"Causes","Professional/Career Problem","Female","15-29",2
"208570","Tamil Nadu",2011,"Causes","Professional/Career Problem","Female","60+",3
"53591","D & N Haveli",2012,"Causes","Poverty","Male","30-44",0
"102286","Jharkhand",2002,"Means_adopted","By coming under running vehicles/trains","Male","30-44",0
"38615","Chandigarh",2009,"Means_adopted","By coming under running vehicles/trains","Female","30-44",0
"137003","Maharashtra",2004,"Causes","Divorce","Female","30-44",14
"207093","Tamil Nadu",2008,"Professional_Profile","Student","Female","0-14",43
"181148","Puducherry",2010,"Professional_Profile","Retired Person","Male","0-14",0
"47430","D & N Haveli",2001,"Causes","Insanity/Mental Illness","Male","30-44",0
"143360","Manipur",2003,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","60+",0
"227193","Uttarakhand",2006,"Means_adopted","By Drowning","Male","45-59",5
"33178","Bihar",2011,"Professional_Profile","Farming/Agriculture Activity","Male","45-59",19
"62094","Delhi (Ut)",2003,"Causes","Family Problems","Male","60+",0
"211956","Tripura",2003,"Means_adopted","By Self Infliction of injury","Female","60+",0
"202433","Sikkim",2012,"Means_adopted","By Consuming Insecticides","Male","0-14",0
"129897","Madhya Pradesh",2003,"Means_adopted","By Jumping from (Other sites)","Male","30-44",6
"134848","Madhya Pradesh",2012,"Causes","Death of Dear Person","Female","60+",5
"104354","Jharkhand",2006,"Causes","Death of Dear Person","Female","45-59",0
"207649","Tamil Nadu",2009,"Means_adopted","By Overdose of sleeping pills","Male","60+",24
"88405","Himachal Pradesh",2002,"Causes","Death of Dear Person","Female","0-14",0
"25918","Assam",2011,"Causes","Fall in Social Reputation","Female","15-29",6
"82886","Haryana",2004,"Causes","Failure in Examination","Male","30-44",0
"159976","Mizoram",2009,"Causes","Bankruptcy or Sudden change in Economic","Female","15-29",0
"438","A & N Islands",2001,"Professional_Profile","Unemployed","Female","0-14",0
"174060","Odisha",2010,"Causes","Cancer","Female","30-44",0
"64250","Delhi (Ut)",2007,"Causes","Professional/Career Problem","Male","30-44",1
"170030","Odisha",2003,"Causes","Ideological Causes/Hero Worshipping","Male","0-14",0
"222465","Uttar Pradesh",2010,"Causes","Dowry Dispute","Female","45-59",4
"228455","Uttarakhand",2008,"Professional_Profile","Service (Private)","Male","45-59",2
"39195","Chandigarh",2010,"Means_adopted","By Consuming Other Poison","Female","45-59",0
"198022","Sikkim",2004,"Means_adopted","By Other means (please specify)","Male","45-59",0
"13256","Andhra Pradesh",2012,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","15-29",1
"73392","Goa",2011,"Education_Status","Primary","Male","0-100+",34
"63628","Delhi (Ut)",2006,"Causes","Divorce","Male","15-29",0
"159664","Mizoram",2008,"Means_adopted","By Fire/Self Immolation","Female","15-29",0
"14549","Arunachal Pradesh",2002,"Professional_Profile","Unemployed","Female","30-44",0
"131851","Madhya Pradesh",2007,"Causes","Paralysis","Female","15-29",2
"10249","Andhra Pradesh",2007,"Causes","Failure in Examination","Male","30-44",15
"51608","D & N Haveli",2008,"Means_adopted","By Fire-Arms","Female","60+",0
"36444","Chandigarh",2005,"Means_adopted","By Machine","Female","60+",0
"68125","Goa",2002,"Causes","Poverty","Female","15-29",0
"208073","Tamil Nadu",2010,"Means_adopted","By touching electric wires","Male","0-14",6
"41521","Chhattisgarh",2002,"Professional_Profile","Public Sector Undertaking","Male","0-14",0
"9804","Andhra Pradesh",2006,"Education_Status","Middle","Female","0-100+",949
"70938","Goa",2007,"Causes","Bankruptcy or Sudden change in Economic","Female","15-29",0
"211518","Tripura",2002,"Professional_Profile","House Wife","Female","60+",5
"91910","Himachal Pradesh",2008,"Causes","Insanity/Mental Illness","Male","30-44",9
"98706","Jammu & Kashmir",2008,"Causes","Divorce","Female","45-59",0
"162490","Nagaland",2001,"Means_adopted","By Drowning","Male","15-29",2
"17280","Arunachal Pradesh",2007,"Means_adopted","By Other means (please specify)","Male","60+",0
"134456","Madhya Pradesh",2011,"Means_adopted","By coming under running vehicles/trains","Male","45-59",29
"174649","Odisha",2011,"Causes","Property Dispute","Male","30-44",22
"594","A & N Islands",2002,"Causes","Paralysis","Male","0-14",0
"190447","Rajasthan",2003,"Causes","Ideological Causes/Hero Worshipping","Female","45-59",0
"111749","Karnataka",2007,"Causes","Cancellation/Non-Settlement of Marriage","Male","60+",0
"146673","Manipur",2009,"Causes","Drug Abuse/Addiction","Female","60+",0
"160887","Mizoram",2010,"Means_adopted","By Fire-Arms","Female","60+",0
"171628","Odisha",2005,"Professional_Profile","Others (Please Specify)","Male","30-44",283
"80646","Gujarat",2012,"Causes","Other Prolonged Illness","Female","45-59",68
"12874","Andhra Pradesh",2011,"Professional_Profile","Service (Government)","Male","30-44",41
"214740","Tripura",2008,"Means_adopted","By Self Infliction of injury","Male","30-44",0
"121496","Kerala",2012,"Means_adopted","By Consuming Other Poison","Male","15-29",75
"141559","Maharashtra",2012,"Causes","Ideological Causes/Hero Worshipping","Male","30-44",0
"84110","Haryana",2006,"Causes","Insanity/Mental Illness","Male","60+",0
"113972","Karnataka",2011,"Causes","Professional/Career Problem","Female","45-59",1
"344","A & N Islands",2001,"Means_adopted","By Drowning","Female","30-44",1
"124494","Lakshadweep",2005,"Professional_Profile","Farming/Agriculture Activity","Male","60+",0
"216390","Tripura",2011,"Means_adopted","By Fire/Self Immolation","Male","15-29",0
"177491","Puducherry",2004,"Causes","Illegitimate Pregnancy","Female","45-59",0
"121092","Kerala",2011,"Professional_Profile","Professional Activity","Male","30-44",71
"213210","Tripura",2005,"Professional_Profile","Service (Private)","Female","60+",0
"135509","Maharashtra",2001,"Means_adopted","By Machine","Female","15-29",1
"183430","Punjab",2002,"Professional_Profile","Service (Private)","Female","30-44",0
"22585","Assam",2005,"Causes","Poverty","Female","30-44",21
"74769","Gujarat",2001,"Professional_Profile","Self-employed (Business activity)","Female","45-59",58
"104598","Jharkhand",2006,"Means_adopted","By Fire/Self Immolation","Female","60+",0
"46616","Chhattisgarh",2011,"Professional_Profile","Service (Government)","Male","0-14",0
"153129","Meghalaya",2008,"Professional_Profile","Self-employed (Business activity)","Male","45-59",0
"48906","D & N Haveli",2003,"Professional_Profile","Public Sector Undertaking","Male","30-44",0
"212096","Tripura",2003,"Professional_Profile","Self-employed (Business activity)","Male","60+",0
"78579","Gujarat",2008,"Means_adopted","By coming under running vehicles/trains","Male","45-59",6
"147481","Manipur",2010,"Professional_Profile","Professional Activity","Male","15-29",0
"57841","Daman & Diu",2007,"Professional_Profile","Professional Activity","Female","30-44",0
"109489","Karnataka",2003,"Causes","Unemployment","Female","60+",0
"112633","Karnataka",2008,"Professional_Profile","Farming/Agriculture Activity","Male","45-59",435
"87508","Haryana",2012,"Causes","Professional/Career Problem","Male","60+",0
"157533","Mizoram",2004,"Means_adopted","By Jumping from (Building)","Male","60+",0
"176340","Puducherry",2002,"Causes","Property Dispute","Female","30-44",0
"86126","Haryana",2009,"Social_Status","Divorcee","Male","0-100+",10
"203072","Tamil Nadu",2001,"Means_adopted","By Consuming Other Poison","Female","45-59",161
"136845","Maharashtra",2003,"Professional_Profile","Retired Person","Male","45-59",33
"53017","D & N Haveli",2011,"Causes","Cancer","Male","30-44",0
"191370","Rajasthan",2004,"Professional_Profile","Service (Private)","Female","45-59",6
"52564","D & N Haveli",2010,"Causes","Failure in Examination","Male","60+",0
"46066","Chhattisgarh",2010,"Professional_Profile","Others (Please Specify)","Female","15-29",86
"62817","Delhi (Ut)",2004,"Means_adopted","By Drowning","Female","60+",0
"6214","A & N Islands",2012,"Causes","Ideological Causes/Hero Worshipping","Female","15-29",0
"145219","Manipur",2006,"Professional_Profile","Farming/Agriculture Activity","Female","0-14",0
"237184","West Bengal",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","60+",0
"30755","Bihar",2007,"Means_adopted","By Jumping from (Building)","Male","30-44",1
"12994","Andhra Pradesh",2012,"Causes","Death of Dear Person","Female","15-29",11
"108177","Karnataka",2001,"Causes","Fall in Social Reputation","Male","0-14",5
"122246","Lakshadweep",2001,"Professional_Profile","House Wife","Male","45-59",0
"13349","Andhra Pradesh",2012,"Means_adopted","By Consuming Insecticides","Female","60+",68
"68802","Goa",2003,"Causes","Other Prolonged Illness","Male","45-59",8
"153817","Meghalaya",2010,"Causes","Cancer","Male","15-29",0
"74566","Gujarat",2001,"Means_adopted","By Overdose of sleeping pills","Female","15-29",6
"176312","Puducherry",2002,"Causes","Drug Abuse/Addiction","Male","15-29",0
"33233","Bihar",2012,"Causes","Fall in Social Reputation","Female","0-14",0
"105696","Jharkhand",2008,"Means_adopted","By Overdose of sleeping pills","Female","45-59",1
"51859","D & N Haveli",2009,"Causes","Cancer","Male","15-29",0
"139163","Maharashtra",2008,"Causes","Paralysis","Female","0-14",0
"190925","Rajasthan",2004,"Causes","Insanity/Mental Illness","Female","15-29",35
"204504","Tamil Nadu",2004,"Causes","Illness (Aids/STD)","Female","30-44",2
"167767","Nagaland",2011,"Causes","Insanity/Mental Illness","Female","0-14",0
"128703","Madhya Pradesh",2001,"Means_adopted","By Self Infliction of injury","Male","0-14",0
"202018","Sikkim",2011,"Professional_Profile","Student","Male","0-14",0
"157921","Mizoram",2005,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","60+",0
"144762","Manipur",2005,"Professional_Profile","Service (Government)","Male","60+",0
"94845","Jammu & Kashmir",2001,"Causes","Drug Abuse/Addiction","Male","60+",0
"169220","Odisha",2001,"Means_adopted","By Jumping from (Other sites)","Male","30-44",24
"58348","Daman & Diu",2008,"Professional_Profile","Service (Private)","Female","0-14",0
"190440","Rajasthan",2003,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","30-44",0
"12420","Andhra Pradesh",2011,"Causes","Poverty","Male","0-14",12
"162152","Mizoram",2012,"Social_Status","Married","Male","0-100+",44
"183920","Punjab",2003,"Means_adopted","By Jumping off Moving Vehicles/Trains","Female","60+",0
"157522","Mizoram",2004,"Means_adopted","By Hanging","Female","60+",0
"75639","Gujarat",2003,"Causes","Unemployment","Male","60+",3
"165481","Nagaland",2006,"Professional_Profile","Student","Female","60+",0
"89348","Himachal Pradesh",2003,"Means_adopted","By Other means (please specify)","Male","45-59",7
"50903","D & N Haveli",2007,"Causes","Suspected/Illicit Relation","Male","60+",0
"118323","Kerala",2006,"Social_Status","Divorcee","Male","0-100+",41
"34769","Chandigarh",2002,"Means_adopted","By Over Alcoholism","Female","60+",0
"6134","A & N Islands",2011,"Professional_Profile","Service (Government)","Male","60+",1
"193837","Rajasthan",2009,"Causes","Poverty","Male","30-44",5
"32842","Bihar",2011,"Causes","Divorce","Male","45-59",0
"137023","Maharashtra",2004,"Causes","Paralysis","Male","30-44",15
"171976","Odisha",2006,"Means_adopted","By Other means (please specify)","Female","0-14",14
"53359","D & N Haveli",2011,"Professional_Profile","Professional Activity","Male","15-29",0
"231619","West Bengal",2002,"Means_adopted","By coming under running vehicles/trains","Female","15-29",46
"66758","Delhi (Ut)",2011,"Means_adopted","By Other means (please specify)","Male","45-59",12
"31668","Bihar",2009,"Causes","Professional/Career Problem","Male","30-44",0
"17276","Arunachal Pradesh",2007,"Means_adopted","By coming under running vehicles/trains","Male","60+",0
"78236","Gujarat",2008,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","0-14",0
"215020","Tripura",2009,"Causes","Other Prolonged Illness","Male","15-29",9
"43871","Chhattisgarh",2006,"Professional_Profile","Others (Please Specify)","Female","60+",4
"132981","Madhya Pradesh",2009,"Causes","Property Dispute","Female","15-29",1
"170398","Odisha",2003,"Means_adopted","By Self Infliction of injury","Female","60+",0
"54516","Daman & Diu",2001,"Professional_Profile","Service (Private)","Male","45-59",0
"38430","Chandigarh",2009,"Causes","Love Affairs","Female","45-59",0
"223135","Uttar Pradesh",2011,"Means_adopted","By Fire-Arms","Female","0-14",1
"205911","Tamil Nadu",2006,"Means_adopted","By Overdose of sleeping pills","Male","45-59",5
"229157","Uttarakhand",2010,"Causes","Not having Children(Barrenness/Impotency","Female","30-44",0
"188371","Punjab",2011,"Means_adopted","By Jumping off Moving Vehicles/Trains","Male","30-44",0
"141622","Maharashtra",2012,"Causes","Suspected/Illicit Relation","Male","45-59",2
"201218","Sikkim",2010,"Causes","Cancer","Female","60+",0
"55509","Daman & Diu",2003,"Means_adopted","By touching electric wires","Male","45-59",0
"149954","Meghalaya",2003,"Causes","Insanity/Mental Illness","Male","30-44",1
"166830","Nagaland",2009,"Causes","Property Dispute","Male","45-59",0
"237352","West Bengal",2012,"Means_adopted","By Consuming Insecticides","Female","45-59",147
"24797","Assam",2009,"Causes","Family Problems","Female","15-29",76
"124118","Lakshadweep",2005,"Causes","Cancer","Female","45-59",0
"58995","Daman & Diu",2009,"Professional_Profile","Student","Male","45-59",1
"147222","Manipur",2010,"Causes","Death of Dear Person","Female","60+",0
"168584","Nagaland",2012,"Means_adopted","By Fire/Self Immolation","Female","0-14",0
"185600","Punjab",2006,"Means_adopted","By Consuming Insecticides","Male","45-59",7
"218884","Uttar Pradesh",2003,"Social_Status","Seperated","Female","0-100+",29
"74896","Gujarat",2002,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","15-29",1
"233292","West Bengal",2005,"Means_adopted","By Machine","Female","0-14",0
"65378","Delhi (Ut)",2009,"Causes","Dowry Dispute","Male","30-44",0
"129649","Madhya Pradesh",2003,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","30-44",24
"171197","Odisha",2005,"Causes","Property Dispute","Female","15-29",0
"195764","Rajasthan",2012,"Means_adopted","By Fire-Arms","Female","45-59",2
"24402","Assam",2008,"Causes","Divorce","Male","60+",0
"233409","West Bengal",2005,"Means_adopted","By Other means (please specify)","Female","60+",51
"206447","Tamil Nadu",2007,"Means_adopted","By Jumping from (Other sites)","Male","30-44",10
"207690","Tamil Nadu",2009,"Professional_Profile","House Wife","Male","15-29",0
"232230","West Bengal",2003,"Means_adopted","By Jumping from (Building)","Male","30-44",32
"186787","Punjab",2008,"Professional_Profile","Others (Please Specify)","Male","0-14",3
"83794","Haryana",2005,"Professional_Profile","Public Sector Undertaking","Female","30-44",10
"173134","Odisha",2008,"Means_adopted","By Over Alcoholism","Female","15-29",0
"77059","Gujarat",2005,"Professional_Profile","Unemployed","Male","60+",5
"91871","Himachal Pradesh",2008,"Causes","Paralysis","Male","15-29",0
"210387","Total (Uts)",2012,"Education_Status","Graduate","Male","0-100+",43
"213343","Tripura",2006,"Causes","Unemployment","Female","30-44",0
"220929","Uttar Pradesh",2007,"Means_adopted","By Drowning","Male","15-29",52
"23575","Assam",2006,"Professional_Profile","Service (Government)","Female","60+",0
"13487","Andhra Pradesh",2012,"Professional_Profile","Student","Male","60+",0
"32654","Bihar",2010,"Social_Status","Widowed/Widower","Male","0-100+",20
"159574","Mizoram",2008,"Causes","Professional/Career Problem","Female","60+",0
"205183","Tamil Nadu",2005,"Causes","Failure in Examination","Female","60+",0
"19115","Arunachal Pradesh",2011,"Causes","Dowry Dispute","Male","0-14",0
"215412","Tripura",2009,"Professional_Profile","Service (Government)","Male","15-29",5
"234241","West Bengal",2007,"Causes","Death of Dear Person","Female","30-44",10
"174083","Odisha",2010,"Causes","Love Affairs","Male","30-44",28
"20251","Assam",2001,"Causes","Other Prolonged Illness","Male","0-14",2
"138293","Maharashtra",2006,"Education_Status","Post Graduate and Above","Male","0-100+",20
"172117","Odisha",2006,"Means_adopted","By coming under running vehicles/trains","Male","60+",20
"7792","Andhra Pradesh",2002,"Professional_Profile","Service (Government)","Female","45-59",5
"231001","West Bengal",2001,"Education_Status","Diploma","Male","0-100+",116
"155489","Mizoram",2001,"Causes","Insanity/Mental Illness","Female","15-29",0
"47936","D & N Haveli",2002,"Causes","Divorce","Male","15-29",0
"192021","Rajasthan",2006,"Causes","Other Prolonged Illness","Male","0-14",0
"166181","Nagaland",2008,"Causes","Poverty","Female","30-44",0
"128892","Madhya Pradesh",2001,"Professional_Profile","Others (Please Specify)","Female","30-44",59
"147044","Manipur",2010,"Causes","Illness (Aids/STD)","Male","0-14",0
"16191","Arunachal Pradesh",2005,"Professional_Profile","Public Sector Undertaking","Female","15-29",0
"19601","Arunachal Pradesh",2011,"Professional_Profile","House Wife","Female","45-59",1
"119210","Kerala",2008,"Means_adopted","By Consuming Insecticides","Female","15-29",86
"195754","Rajasthan",2012,"Means_adopted","By Drowning","Male","30-44",66
"153202","Meghalaya",2009,"Causes","Cancer","Male","0-14",0
"154162","Meghalaya",2010,"Means_adopted","By Self Infliction of injury","Male","60+",0
"1706","A & N Islands",2004,"Causes","Death of Dear Person","Male","0-14",0
"21039","Assam",2002,"Education_Status","Matriculate/Secondary","Female","0-100+",87
"115167","Kerala",2001,"Causes","Property Dispute","Female","60+",5
"75866","Gujarat",2003,"Professional_Profile","Others (Please Specify)","Female","30-44",20
"19451","Arunachal Pradesh",2011,"Means_adopted","By touching electric wires","Male","30-44",4
"209273","Tamil Nadu",2012,"Means_adopted","By Consuming Insecticides","Male","30-44",423
"103419","Jharkhand",2004,"Means_adopted","By Drowning","Male","30-44",8
"80352","Gujarat",2011,"Professional_Profile","Unemployed","Male","0-14",2
"106363","Jharkhand",2009,"Professional_Profile","Service (Private)","Male","15-29",21
"101335","Jammu & Kashmir",2012,"Professional_Profile","Service (Government)","Female","60+",0
"41611","Chhattisgarh",2002,"Professional_Profile","Retired Person","Female","60+",0
"32495","Bihar",2010,"Means_adopted","By Consuming Other Poison","Female","60+",3
"94743","Jammu & Kashmir",2001,"Causes","Illegitimate Pregnancy","Male","30-44",0
"157960","Mizoram",2005,"Means_adopted","By Jumping from (Building)","Male","0-14",0
"149097","Meghalaya",2001,"Means_adopted","By Drowning","Female","60+",0
"176980","Puducherry",2003,"Causes","Dowry Dispute","Female","60+",0
"135918","Maharashtra",2002,"Causes","Other Prolonged Illness","Female","45-59",170
"219635","Uttar Pradesh",2005,"Causes","Drug Abuse/Addiction","Female","45-59",0
"7369","Andhra Pradesh",2002,"Causes","Drug Abuse/Addiction","Male","15-29",3
"1184","A & N Islands",2003,"Causes","Unemployment","Female","15-29",0
"221467","Uttar Pradesh",2008,"Means_adopted","By Jumping from (Building)","Female","15-29",12
"23695","Assam",2007,"Causes","Cancer","Male","15-29",1
"61211","Delhi (Ut)",2001,"Professional_Profile","Others (Please Specify)","Male","30-44",76
"134311","Madhya Pradesh",2011,"Causes","Poverty","Male","60+",1
"32431","Bihar",2010,"Means_adopted","By Jumping from (Building)","Female","30-44",3
"205167","Tamil Nadu",2005,"Causes","Insanity/Mental Illness","Female","60+",10
"20155","Arunachal Pradesh",2012,"Professional_Profile","Self-employed (Business activity)","Male","45-59",0
"125055","Lakshadweep",2006,"Social_Status","Seperated","Female","0-100+",0
"190508","Rajasthan",2003,"Causes","Cancer","Female","60+",0
"151820","Meghalaya",2006,"Means_adopted","By Machine","Male","15-29",1
"18970","Arunachal Pradesh",2010,"Professional_Profile","Service (Government)","Female","0-14",0
"64703","Delhi (Ut)",2008,"Causes","Love Affairs","Male","0-14",0
"166537","Nagaland",2008,"Professional_Profile","Public Sector Undertaking","Male","15-29",0
"129243","Madhya Pradesh",2002,"Means_adopted","By Hanging","Female","0-14",25
"147614","Manipur",2011,"Causes","Drug Abuse/Addiction","Male","0-14",0
"143499","Manipur",2003,"Means_adopted","By Machine","Male","45-59",0
"127024","Lakshadweep",2010,"Means_adopted","By Fire/Self Immolation","Male","0-14",0
"47822","D & N Haveli",2001,"Professional_Profile","Unemployed","Male","60+",0
"71851","Goa",2008,"Means_adopted","By Drowning","Female","60+",5
"5617","A & N Islands",2011,"Causes","Not having Children(Barrenness/Impotency","Female","0-14",0
"23663","Assam",2007,"Causes","Love Affairs","Female","15-29",112
"153091","Meghalaya",2008,"Professional_Profile","House Wife","Female","30-44",4
"134857","Madhya Pradesh",2012,"Causes","Not having Children(Barrenness/Impotency","Female","60+",0
"75596","Gujarat",2003,"Causes","Causes Not known","Female","60+",11
"103325","Jharkhand",2004,"Education_Status","Graduate","Male","0-100+",17
"365","A & N Islands",2001,"Means_adopted","By Drowning","Male","30-44",1
"211960","Tripura",2003,"Means_adopted","By coming under running vehicles/trains","Female","60+",0
"154414","Meghalaya",2011,"Causes","Cancer","Female","30-44",0
"227592","Uttarakhand",2007,"Causes","Property Dispute","Female","60+",0
"41556","Chhattisgarh",2002,"Professional_Profile","Others (Please Specify)","Female","30-44",67
"194088","Rajasthan",2009,"Means_adopted","By Hanging","Male","45-59",144
"104318","Jharkhand",2006,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","30-44",5
"211765","Tripura",2003,"Causes","Causes Not known","Female","60+",1
"121480","Kerala",2012,"Means_adopted","By Other means (please specify)","Female","15-29",3
"101722","Jharkhand",2001,"Means_adopted","By Machine","Male","30-44",0
"69534","Goa",2004,"Means_adopted","By Jumping from (Building)","Female","30-44",0
"96655","Jammu & Kashmir",2004,"Means_adopted","By Hanging","Male","30-44",0
"167430","Nagaland",2010,"Causes","Failure in Examination","Male","60+",0
"130358","Madhya Pradesh",2004,"Education_Status","Diploma","Female","0-100+",11
"210222","Total (Uts)",2005,"Social_Status","Widowed/Widower","Female","0-100+",19
"237431","West Bengal",2012,"Professional_Profile","House Wife","Female","15-29",0
"204636","Tamil Nadu",2004,"Causes","Bankruptcy or Sudden change in Economic","Male","60+",11
"205314","Tamil Nadu",2005,"Means_adopted","By Hanging","Male","30-44",652
"181577","Puducherry",2011,"Means_adopted","By coming under running vehicles/trains","Female","15-29",0
"125108","Lakshadweep",2007,"Causes","Paralysis","Male","0-14",0
"20957","Assam",2002,"Causes","Cancer","Female","45-59",0
"167360","Nagaland",2010,"Causes","Love Affairs","Female","45-59",0
"224563","Uttarakhand",2002,"Causes","Failure in Examination","Female","0-14",0
"155655","Mizoram",2001,"Causes","Dowry Dispute","Male","60+",0
"233713","West Bengal",2006,"Causes","Dowry Dispute","Male","30-44",0
"157915","Mizoram",2005,"Causes","Other Prolonged Illness","Male","60+",0
"96409","Jammu & Kashmir",2004,"Causes","Property Dispute","Female","30-44",0
"171930","Odisha",2006,"Causes","Causes Not known","Male","60+",76
"223080","Uttar Pradesh",2011,"Causes","Death of Dear Person","Female","60+",0
"207716","Tamil Nadu",2009,"Professional_Profile","Retired Person","Male","30-44",0
"105038","Jharkhand",2007,"Means_adopted","By Fire-Arms","Female","0-14",0
"169078","Odisha",2001,"Causes","Not having Children(Barrenness/Impotency","Female","60+",0
"6852","Andhra Pradesh",2001,"Causes","Illness (Aids/STD)","Male","30-44",22
"10117","Andhra Pradesh",2007,"Causes","Unemployment","Female","0-14",7
"147132","Manipur",2010,"Causes","Other Causes (Please Specity)","Female","30-44",0
"42542","Chhattisgarh",2004,"Means_adopted","By Self Infliction of injury","Female","30-44",0
"217891","Uttar Pradesh",2002,"Causes","Drug Abuse/Addiction","Female","30-44",34
"31827","Bihar",2009,"Means_adopted","By Over Alcoholism","Male","0-14",0
"80161","Gujarat",2011,"Causes","Property Dispute","Male","60+",0
